no,tweet,tweetbaru,TOKENIZATION,Jenis
1,bes kalian mulai daring jam berapaa?,bes kalian mulai daring jam berapaa,"['kalian', 'mulai', 'daring', 'jam', 'berapaa']",1
2,@bunniepiee daring ga?,bunniepiee daring,[ 'daring'],1
3,@HARUWSO7 Biar semangat daring tp ttp ga semangat,HARUWSO7 Biar semangat daringttpsemangat,"['biar', 'semangat', 'daringttpsemangat']",1
4,@xjee27 daring ngga?,xjee27 daring ngga,"[ 'xjee27', 'daring', 'ngga' ]",1
5,@LJN23NJM42 daring gk?kalo iya semangat yaÃ°Å¸Â¤â,LJN23NJM42 daringkalo iya semangat,"['daringkalo', 'iya', 'semangat']",1
6,indihom jelek banget ya ampun aku mau daring...,indihom jelek bangetampun aku mau daring,"['indihom', 'jelek', 'banget', 'ampun', 'aku', 'mau', 'daring']",0
7,Ngantukk gue mana mau daring,Ngantukk gue mana mau daring,"['ngantukk', 'gue', 'mana', 'mau', 'daring']",0
8,@zarendd AAAAKKK MALES DARING Ã°Å¸ËÂ°Ã°Å¸ËÂ°,zarendd AAAAKKK MALES DARING,"['aaaakkk', 'males', 'daring']",0
9,niatnya dr pagi mau fokus daring terus iseng baca au eh malah jd males WKAKAKAKA,niatnyapagi mau fokus daring terus iseng bacamalahmales WKAKAKAKA,"['niatnyapagi', 'mau', 'fokus', 'daring', 'terus', 'iseng', 'baca','malah','males', 'wkakakaka']",0
10,@sayasukamark w ga daring,sayasukamarkdaring,"['saya','suka','markdaring']",1
11,demi apasi uda daring lagi,demi apasi uda daring lagi,"['demi', 'apasi', 'uda', 'daring', 'lagi']",0
12,Tpi ya bukan urusan ku sih cuma kan sekarang daring ya dapet nilai dri manaÃ°Å¸ËÂ­Ã°Å¸ËÂ­ orng yg tugasnya full aja deg degan,Tpibukan urusansih cuma kan sekarang daringdapet nilai dri manaorngtugasnya full aja deg degan,"['tpi','bukan', 'urusansih', 'cuma', 'kan', 'sekarang', 'daring',dapet', 'nilai', 'dri', 'mana','orng','tugasnya', 'full', 'aja', 'deg', 'degan']",0
13,mls bgt daring lg jing,mls bgt daringjing,"['males', 'banget', 'daring','anjing']",0
14,@boladitendangg kepalaaaa pundak daring lagi daring lagi /capeq,boladitendangg kepalaaaa pundak daring lagi daring lagicapeq,"['kepala', 'pundak', 'daring', 'lagi', 'daring', 'lagi',capeq']",0
15,mls daring.,mls daring,"['males', 'daring']",0
16,sekarang daring ga sih ya,sekarang daringsih,"['sekarang', 'daring','sih']",1
17,@abcdgtyj bangun bangun daring,abcdgtyj bangun bangun daring,"[ 'bangun', 'bangun', 'daring']",1
18,Hhhayyyy pada daring ya lah gw tinggal nunggu bagi rapot terus pengumuman kelulusan abis tuh udah deh,Hhhayyyy pada daringlahtinggal nunggu bagi rapot terus pengumuman kelulusan abis tuh udah deh,"['hhhayyyy', 'pada', 'daring',lagi,'tinggal', 'nunggu', 'bagi', 'rapot', 'terus', 'pengumuman', 'kelulusan', 'abis', 'tuh', 'udah', 'deh']",1
19,pagieee selamat daring kembali~ yang gak daring musuhin ja,pagieee selamat daring kembaliyang gak daring musuhin,"['selamat', 'daring', 'kembali','yang', 'gak', 'daring', 'musuhin']",0
20,@cherybomz gue males daring,cherybomz gue males daring,"['gue', 'males', 'daring']",0
21,@hypenfeels Semangat!! Aku masih daring,hypenfeels SemangatAku masih daring,"[ 'semangat','aku', 'masih', 'daring']",1
22,males banget daring lagi,males banget daring lagi,"['males', 'banget', 'daring', 'lagi']",0
23,@njrfaa_ hai sesama pelajar daring Ã°Å¸â¢ÅÃ°Å¸ÂÂ» semangat hari iniÃ°Å¸ââ,njrfaa_ hai sesama pelajar daringsemangat hari ini,"['hai', 'sesama', 'pelajar', 'daringsemangat', 'hari', 'ini']",1
24,Pagii semangatt buat yang ujian/daringÃ¢âºâ¦,Pagii semangatt buat yang ujian daring,"""['pagii', 'semangatt', 'buat', 'yang', 'ujian', 'daring']""",1
25,@yoombiye nonton disambi daring tp smoga gada tugas huaa,yoombiye nonton disambi daringsmoga gada tugas huaa,"""['nonton', 'disambi', 'daring','semoga', 'ga','ada', 'tugas', 'huaa']""",1
26,anjer apa itu daring,anjer apa itu daring,"['anjer', 'apa', 'itu', 'daring']",0
27,@3piphanyy daring syank,3piphanyy daring syank,"['daring', 'sayank']",1
28,semangat daring lagi semuanyaa,semangat daring lagi semuanyaa,"['semangat', 'daring', 'lagi', 'semuanya']",1
29,yang hari ini daring semangat,yang hari ini daring semangat,"['yang', 'hari', 'ini', 'daring', 'semangat']",1
30,@blessmeachu0 gak bisa tidur dan sekarang aku mau daring dewi Ã°Å¸ËÂ£,blessmeachu0 gak bisa tidur dan sekarang aku mau daring dewi,"['blessmeachu0', 'gak', 'bisa', 'tidur', 'dan', 'sekarang', 'aku', 'mau', 'daring', 'dewi']",0
31,hri ini gua dha mulai daringÃ°Å¸ËÂ¢,hri ini gua dha mulai daring,"['hari', 'ini', 'gua', 'uda', 'mulai', 'daring']",1
32,@mlbbfess Bukannya bocil bocilnya uda masuk daring ya:(,mlbbfess Bukannya bocil bocilnya uda masuk daring,"['bukannya', 'bocil', 'bocilnya', 'uda', 'masuk', 'daring']",1
33,daring gini bawaannya ngantuk,daring gini bawaannya ngantuk,"['daring', 'gini', 'bawaannya', 'ngantuk']",0
34,Nyari cuan terus Ampe lupa daring syit,Nyari cuan terus Ampe lupa daring syit,"['nyari', 'cuan', 'terus', 'ampe', 'lupa', 'daring', 'syit']",0
35,Siapa yang hari ini udh mulai daring lgiee??? Ã°Å¸ËÂª,Siapa yang hari ini udh mulai daring lgiee,"['siapa', 'yang', 'hari', 'ini', 'udh', 'mulai', 'daring', 'lagi']",1
36,mager gladi wisuda daringÃ°Å¸ËÂ¬,mager gladi wisuda daring,"['mager', 'gladi', 'wisuda', 'daring']",0
37,pagi bestie!! semangat sekolah/daringÃ¢ÅÅ Ã°Å¸ââ,pagi bestiesemangat sekolah daring,"['pagi', 'bestie','semangat', 'sekolah', 'daring']",1
38,gue offline ga nolep tapi gue lebih suka daring jir soalnya waktu gue jadi lebih fleksibel,gue offlinenolep tapi gue lebih suka daring jir soalnya waktu gue jadi lebih fleksibel,"['gue', 'offline',nolep', 'tapi', 'gue', 'lebih', 'suka', 'daring', 'jir', 'soalnya', 'waktu', 'gue', 'jadi', 'lebih', 'fleksibel']",1
39,Kalian daring lagi apa udh offline?,Kalian daring lagi apa udh offline,"['kalian', 'daring', 'lagi', 'apa', 'udh', 'offline']",1
40,Pagii fren? Mager banget hari ini daring:),Pagii frenMager banget hari ini daring,"['pagii', 'fren','mager', 'banget', 'hari', 'ini', 'daring']",0
41,saatnya kembali daring yang melelahkan,saatnya kembali daring yang melelahkan,"['saatnya', 'kembali', 'daring', 'yang', 'melelahkan']",0
42,hari ini daring dan mama bilang Ã¢â¬Åbolos aja temenin mama jalan jalanÃ¢â¬Â,hari ini daring dan mama bilangbolos aja temenin mama jalan jalan,"['hari', 'ini', 'daring', 'dan', 'mama', 'bilang',bolos', 'aja', 'temenin', 'mama', 'jalan', 'jalan']",0
43,Yang daring semangat yaaa! Jangan lupa sarapan! Aku mau tidur lagi,Yang daring semangat yaaaJangan lupa sarapanAku mau tidur lagi,"['yang', 'daring', 'semangat', 'yaaajangan', 'lupa', 'sarapan','aku', 'mau', 'tidur', 'lagi']",1
44,@ohowaeri Mengkasihan. Terus kalo daring ya nyandet nyandet gitu?,ohowaeri MengkasihanTerus kalo daringnyandet nyandet gitu,"['kasihan',terus', 'kalo', 'daring',nyandet', 'nyandet', 'gitu']",0
45,Nonton BBMAs trus lanjut daring. Kapan gue tidurnya jirÃ°Å¸ËÂ¿,Nonton BBMAs trus lanjut daringKapan gue tidurnya jir,"['nonton', 'bbmas', 'terus', 'lanjut', 'daring','kapan', 'gue', 'tidurnya', 'jir']",0
46,Good morning moots! Udah mulai daring lagi nihh. Semangat yaa! Yuk bisa yukkk,Good morning mootsUdah mulai daring lagi nihhSemangat yaaYuk bisa yukkk,"['good', 'morning', 'sudah', 'mulai', 'daring', 'lagi', 'nihhsemangat', 'yaayuk', 'bisa', 'yukkk']",1
47,daring beda ya sekarang,daring bedasekarang,"['daring', 'beda','sekarang']",1
48,@chickwwiinnn nis hari ini daring ngga? btw semangat buat hari ini,chickwwiinnn nis hari ini daring nggabtw semangat buat hari ini,"['chickwwiinnn', 'nis', 'hari', 'ini', 'daring', 'ngga','tau', 'semangat', 'buat', 'hari', 'ini']",1
49,@nshstarriki kaget bgt dhehsyshs smoga ada keajaiban uas daringÃ°Å¸ËâÃ°Å¸Ëâ,nshstarriki kaget bgt dhehsyshs smoga ada keajaiban uas daring,"['kaget', 'banget', 'dhehsyshs', 'smoga', 'ada', 'keajaiban', 'uas', 'daring']",1
50,Met hari senin yg daring yuk ttp smgtÃ°Å¸ââ,Met hari senindaring yuk ttp smgt,"['met', 'hari', 'senin','daring', 'yuk', 'ttp', 'smgt']",1
51,@96YOUNGQIN hari ini daring? btw semangat buat hari ini,96YOUNGQIN hari ini daringbtw semangat buat hari ini,"['hari', 'ini', 'daringbtw', 'semangat', 'buat', 'hari', 'ini']",1
